"keywords","label0","label1","label2","label3","label4","label5","label6","label7","label8","label9","label10","label11","label12","label13","label14","label15"
"Of course not to miss + the Red Bar on this magnificent artery with its buildings combining amazing architectural mixes","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I visited many old streets in China","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" This Tunxi old street is the same as many old streets","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" It is very commercial","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" It takes more than ten minutes to walk from beginning to end","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Only the postcard shop attracts me and has consumption","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Unlike many Chinese art museums, this one is pleasant to visit","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" It gives a good overview of Chinese art (bronze, jade, caligraphy, etc","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
" And above all, it has the big advantage of being free!","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Museum has only typical costumes and porcelain and handicraft items, but little information about China's history, battles or wars","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The entire city seen at one time","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  You can walk around the perimeter of a scale model of the city on an elevated platform","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  A masterpiece of design and construction","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"China a long time ago? An atmosphere like this","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" This is where it can appear in TV dramas and NHK late-night shows","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" Coffee shops, local specialty shops, art things are all sold, it will be easy to take a leisurely walk for more than an hour","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" When we go at night, someone will be singing, so people will gather together","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" The place you must go if you go to Suzhou","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unfortunately the Garden was closed, fortunately I've been there twice before because it is amazing","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" One plus was that it gave us more time for that favorite activity, shopping","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" Never felt like we had enough time there before to really explore so I was happy to have the extra time","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"we went to the Bund for a walk around and it was amazing there were so many different types of architecture and there were so many many people it was hard to believe that it was just an ordinary day, and no celebrations of any kind happening on the day","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" they were all just tourist, wow","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"What a great place to go and see, especially at night, as the light show of the buildings is brill, and the boats going by all lit up are a sight to see","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" During the day, it's a great place to have a drink and just people watch","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stay away!!!  Unless you want to lean over people camped out in front of all the windows along the observation deck, then go for it","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"  I can't believe the staff would allow people to sit for hours blocking people from viewing","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  I witnessed them playing games on their phones most likely waiting for the sunset","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"A very impressive Nobel mile with many shops and restaurants","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" Many people are travelling here and marvel at the gigantic skyline, which is probably one of the most beautiful in the world","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" One should also take a look at this in the evening between 19-22 o & APOs; clock, when the lighting immerses everything in an enchanting sea of lights","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I rented a bicycle at the hostel to take a walk around the lake","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" Very nice by the views, it is best to be able to make a stop and sit on a bench to relax while watching the lake","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
" I stopped at the museum too, which is free and very interesting","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The city itself has not much to do with it, and perhaps this is its greatest attraction","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"According to the time, this is an ordinary zoo that can only see a mess","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Yangtze River crocodiles, pandas, King Kong and South China tigers are required to see","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" In particular, the Expo panda will see a very lovely figure in this zoo by the end of June 2010","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Especially the outdoor goldfish tank, panda, red panda and goldfish are all very good","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Starting at around 7 o'clock in the morning, it is a very leisurely place, so it is very comfortable","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" I wish I could take a walk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" According to the old guide, the admission fee is 30 yuan, and now it is 40 yuan","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"The buildings seen from the Bund with the river are beautiful","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The night view is very beautiful","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The buildings on the side of the Bund are also beautiful","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" There were a lot of people in the evening, and the guide told me to be careful not to indulge in photos and not to meet pickpockets","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I loved being able to walk on the Bund at night with the love of my life","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  It was very romantic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  We felt like we were alone even thought there were thousands of people around us","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"  It was a perfect end to a two week tour of China","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"It is a beautiful view at night, be prepared to be pushed and pick pocketed","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The view is well worth a visit, the architecture is incredible and lit up at night","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" If you drink, several famous bars are along the Bund","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"What surprises me time and again is that severely disabled, egals from which country, pay no entrance anywhere","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" A beautiful complex in which the animals are accommodated well and with plenty of space","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" I & APOs; ve seen much worse in Tenerife and also in Germany","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Necessarily make the trip by bus into the various outdoor enclosures","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" An unforgettable experience","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" We didn & APOs; t drive the barred bus, because it & APOs; s not so good to take pictures because of the bars","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
" Finally, I saw panda bears live, big and small","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Terrible place to visit","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"infested with bus loads of local Chinese tourists only, with their tour guides trying to outdo each other with their loud microphones","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"everyone were packed like sardines and squeezed into these narrow streets","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" I shudder to think what will happen in event of stampedes, fires or other emergencies","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"some old houses are converted into little museums, but these exhibits are poor quality and all very ugly","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"be careful not to trip on those wooden elevations at the entrance of each doorway as you enter the museums","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"There are quite a few shops around, but all their stuff are extremely low quality","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"toilets as usual are terribly dirty","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"there is a USD$30 entrance fee to this place as well","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"all in all, a really terrible place to visit, we wanted to get out after 10 minutes","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"I walked the length of the Bund during the Day and then at Night and learned the visual aesthetic turns up several notches during the evening! The view transitions from great to incredible","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The lights of the many buildings along the water and dispersed throughout Shanghai become visible and one can see the architectural savvy of the infrastructures as well!The lightening provides for a great view and a walk that is pleasantly romantic if you are with that special someone! One precaution I would make in visiting this site is preparing to do a great deal of walking and having tolerance for being bumped often as there are troughs of people everywhere!Other than this, it is a pleasurable walk with scenic views","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Landscape incredibly beautiful","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Madness, however, also the number of tourists who push themselves over the paths","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Therefore: the investment in an exercise on the top of the mountain is a must","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" From 16: 00 it gets much emptiness","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" Cable car best countercyclical without waiting time","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
" Then hike in the early evening and morning hours without thousands of other tourists","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The paths are simply but very exhausting due to the slope","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"A pleasant place, but a lot of tourists","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
" The territory is not small and here they feel so repeated, as in the imperial palaces","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
